name,title,country,joined,last_online,followers,league,bullet_last,bullet_best,bullet_win,bullet_loss,bullet_draw,blitz_last,blitz_best,blitz_win,blitz_loss,blitz_draw,rapid_last,rapid_best,rapid_win,rapid_loss,rapid_draw,fide,tactics_rating,puzzle_attempts,puzzle_best
Player 1,FM,DE,1584226200,1699255971,7,Legend,2460,2675,1061,568,95,2401,2651,432,142,35,2229,2257,66,9,3,0,3071,38,35
Player 2,WFM,MC,1356599736,1692583551,12,Bronze,1852,2134,318,278,29,1998,2029,319,288,45,1628,1944,21,7,2,0,1989,25,23
Player 3,FM,HN,1501754571,1674644711,19,Silver,2465,2521,527,111,12,2468,2574,1365,690,88,1907,1907,41,4,10,2313,2771,44,41
Player 4,WFM,RO,1586252135,1696427236,20,Silver,2016,1625,3,1,0,2304,2327,203,126,21,2016,1904,1,3,4,2016,1311,57,54
Player 5,FM,DE,1392559621,1698873214,133,Champion,2059,2135,3633,2499,191,2222,2328,2898,1949,303,2411,2411,154,61,13,2180,3408,52,49
Player 6,WIM,IN,1538384426,1699281132,1590,Champion,2150,2445,540,656,55,2526,2562,1794,2102,378,2232,2232,23,31,18,2213,3610,63,60
Player 7,NM,US,1401746360,1699218687,189,Champion,2733,2778,4954,4872,847,2594,2723,3786,3695,709,2272,2272,173,138,24,2224,3373,54,51
Player 8,FM,RU,1588269438,1699266868,18,Champion,2616,2686,908,1039,167,2613,2697,2486,2644,599,2608,2608,4,2,0,2349,3010,50,47
Player 9,IM,RO,1478808523,1699208503,43,Elite,2547,2547,1,0,0,2479,2592,619,453,128,2309,2368,100,71,28,2302,3510,30,29
Player 10,FM,IR,1482212652,1699259982,734,Legend,2852,2963,896,497,54,2922,3064,9541,7408,1223,2526,2564,182,63,25,2417,6497,67,64
Player 11,GM,NO,1279975860,1699204249,158,Crystal,2766,2786,423,274,42,2659,2715,2358,1604,277,2373,2507,21,5,1,2489,3393,48,45
Player 12,FM,IN,1396436552,1699284382,282,Crystal,2360,2586,721,553,46,2342,2611,1578,1366,172,2149,2204,22,5,2,2335,3305,51,48
Player 13,FM,CA,1378993999,1698737584,65,Silver,2277,2364,4,2,0,2232,2351,3541,2598,443,2099,2339,10,9,3,2289,2150,39,36
Player 14,FM,RU,1491141468,1695730996,25,Wood,2583,2845,684,707,105,2298,2730,1227,1317,211,2059,2059,1,0,0,2350,2536,50,47
Player 15,GM,GW,1481624469,1699191730,45,Wood,2604,2604,49,22,3,2620,2691,329,224,72,2426,2426,16,13,6,2419,2693,50,48
Player 16,CM,ZA,1483264545,1699284760,90,Legend,2067,2405,2739,2734,198,2442,2565,7970,8428,983,2092,2144,40,23,7,2209,3101,44,42
Player 17,NM,BR,1481050773,1699272297,108,Champion,2247,2510,5454,4456,412,2234,2447,6311,5482,503,2123,2123,20,8,0,2196,3371,53,50
Player 18,GM,AM,1482166621,1699243158,678,Champion,2856,2922,628,309,68,2839,2923,1720,1221,309,2231,2527,5,5,1,2440,5410,69,66
Player 19,WFM,HU,1578050171,1699291415,8151,Champion,2251,2376,614,376,55,2320,2447,1533,1288,173,2175,2212,911,215,57,2100,3372,72,69
