name,title,country,joined,last_online,followers,league,bullet_last,bullet_best,bullet_win,bullet_loss,bullet_draw,blitz_last,blitz_best,blitz_win,blitz_loss,blitz_draw,rapid_last,rapid_best,rapid_win,rapid_loss,rapid_draw,fide,tactics_rating,puzzle_attempts,puzzle_best
Player 1,NM,US,1375907239,1701385831,36,Legend,2316,2429,2731,2502,326,2426,2465,2659,2020,347,1909,2000,473,476,23,0,3336,53,50
Player 2,FM,UA,1424795244,1701360368,145,Crystal,2291,2414,55,45,6,2372,2439,3329,3303,454,1952,2302,2,2,0,2306,2529,38,35
Player 3,CM,ZA,1567926875,1696345775,407,Legend,2500,2563,3141,3867,342,2330,2571,2943,3436,456,2251,2251,129,46,12,1800,3430,45,42
Player 4,FM,HR,1407163686,1696842168,32,Elite,2579,2853,127,114,20,2554,2803,730,541,116,2270,2448,125,20,6,2340,2609,46,43
Player 5,IM,US,1291341884,1693697031,43,Wood,2445,2340,178,134,22,2583,2625,1210,862,131,2408,2408,19,3,2,2397,2944,53,51
Player 6,FM,IM,1624786547,1701331328,23,Legend,2637,2732,277,299,47,2546,2731,2408,2520,483,2519,2519,141,155,41,2306,3708,50,47
Player 7,WFM,KG,1576855308,1695742781,16,Wood,1135,1205,3,1,0,2141,2171,34,5,0,1892,2117,16,11,9,1950,1603,53,50
Player 8,GM,SE,1332442068,1699774915,13,Stone,1904,1754,6,0,0,2483,2525,133,59,19,1517,1517,2,0,0,0,3665,66,64
Player 9,NM,US,1365713899,1701393080,122,Legend,1843,2003,15641,14285,268,2005,2224,25920,22351,1597,2300,2355,182,157,18,2200,3038,28,25
Player 10,FM,DK,1486486325,1700482049,98,Champion,2042,2172,18,15,1,2269,2379,7130,7191,1209,2353,2414,484,483,144,0,3389,4,3
Player 11,FM,UA,1511881588,1701176546,90,Crystal,2503,2560,158,53,10,2559,2705,804,471,100,2373,2373,27,10,11,2259,4002,67,64
Player 12,FM,FR,1534416297,1697394210,14,Crystal,2485,2530,98,42,11,2654,2657,270,153,29,2388,2237,39,13,5,0,2602,46,43
Player 13,GM,RO,1470584596,1701254205,918,Crystal,2848,2962,1222,1054,212,2934,3038,1308,767,300,2631,2810,48,14,21,2655,4195,77,74
Player 14,IM,UA,1373367764,1697463168,42,Stone,2435,2435,24,7,0,2295,2565,423,399,71,2053,2093,6,2,2,2395,3052,55,52
Player 15,GM,PL,1392309935,1700586313,60,Stone,2129,2171,17,20,0,2321,2501,57,42,9,2384,2384,19,1,0,2494,2696,30,27
Player 16,IM,TR,1623782693,1701343898,35,Silver,2785,2820,62,33,2,2768,2793,90,41,20,2715,2715,1,0,0,0,3466,61,58
Player 17,FM,GR,1399385697,1701101661,22,Legend,2699,2756,96,57,5,2499,2718,1483,1780,341,2329,1500,1,0,0,2329,2324,37,36
Player 18,IM,TH,1459838524,1701299937,100,Champion,2769,2794,2051,1890,275,2774,2888,2925,2597,394,2335,2347,6,4,1,2458,2645,51,48
Player 19,FM,GB,1563472333,1701357453,840,Crystal,2472,2641,854,689,89,2548,2713,2024,1694,279,2251,2530,13,7,2,2365,2962,50,47
Player 20,NM,AU,1530739776,1701391821,163,Elite,2747,2760,3250,2721,283,2645,2681,2621,1860,332,2000,2124,17,3,1,1,3169,60,57
Player 21,GM,AR,1472471546,1701356328,453,Silver,2865,2957,1001,860,141,2881,2989,1567,1105,295,2478,2542,35,19,8,2559,3237,48,47
Player 22,NM,US,1333050302,1699925826,24,Silver,1942,2153,227,161,26,2196,2212,819,532,99,1862,1919,15,2,0,2218,2618,42,41
Player 23,FM,IN,1567926085,1701352679,447,Elite,2556,2675,805,763,98,2700,2758,2046,2129,426,2386,2534,30,25,13,2305,3521,66,63
Player 24,FM,DE,1462888277,1701284259,48,Crystal,2311,2602,772,728,48,2389,2488,960,857,79,2270,2324,12,4,0,2320,3521,52,49
Player 25,WFM,RU,1570827271,1671061878,180,Bronze,2201,2514,2699,2518,263,2374,2481,705,619,104,2340,2340,5,6,0,0,2100,42,39
Player 26,IM,PL,1546220204,1701333915,38,Wood,2350,1214,2,1,0,2356,2356,1554,1094,85,2385,2385,9,0,0,0,2444,24,21
Player 27,GM,RU,1521157375,1701354703,57,Silver,2606,2606,6,1,0,2529,2529,640,557,149,2428,2459,8,10,2,2336,3703,61,58
Player 28,NM,US,1225984256,1691721363,31,Wood,2466,2566,221,92,27,2286,2324,73,30,5,2394,2468,58,12,7,2290,2776,57,54
Player 29,CM,MR,1457874985,1700003035,44,Crystal,1680,2197,115,85,5,2110,2283,2115,2425,382,1884,2374,105,49,23,2046,3050,20,18
Player 30,GM,AU,1427195847,1700116393,207,Bronze,2879,2770,791,506,74,2900,2975,4217,3397,761,2047,2515,5,2,0,2500,3072,61,58
Player 31,NM,BR,1326842777,1701394175,51,Bronze,2141,2254,38,44,1,2066,2272,1766,1414,162,1838,1977,9,22,2,0,2365,28,26
Player 32,WCM,US,1371230160,1701378304,940,Crystal,1292,1533,95,91,4,1892,2037,3755,3137,467,1798,2075,174,78,19,1908,2880,63,60
