white_username,black_username,opening,score_white,score_black,result_white,result_black,time_class,time_control,rating_white,rating_black,accuracy_white,accuracy_black,start_time,end_time,game_length,total_moves,avg_move_time,UTC_date,white_<1,white_2,white_5,white_15,white_>15,black_<1,black_2,black_5,black_15,black_>15
gshwbedhkhd,Hikaru,Modern-Defense-Standard-Line,0,1,resigned,win,blitz,180+1,2538,3219,78.79,89.75,15:59:58,16:05:44,346.0,29,11.93,2023.01.03,3,9,5,6,5,3,13,6,3,3
Hikaru,Aygehovit1992,Kings-Fianchetto-Opening,1,0,win,resigned,blitz,180+1,3220,2714,97.08,85.15,16:10:12,16:13:41,209.0,28,7.46,2023.01.03,4,13,6,4,0,4,11,6,2,3
Mikhail_Bryakin,Hikaru,Dutch-Defense-Classical-Variation,1,0,win,resigned,blitz,180+1,2839,3206,93.53,83.34,16:21:02,16:28:51,469.0,58,8.09,2023.01.03,6,30,8,11,2,11,22,10,10,3
Hikaru,nurgyulsalimova,Kings-Fianchetto-Opening,1,0,win,timeout,blitz,180+1,3207,2694,87.32,81.66,16:34:24,16:41:20,416.0,47,8.85,2023.01.03,8,16,12,9,1,5,22,10,4,4
GM_Crest,Hikaru,Dutch-Defense-Fianchetto-Attack,0,1,timeout,win,blitz,180+1,2785,3208,79.71,84.2,16:51:49,16:58:47,418.0,34,12.29,2023.01.03,2,12,7,11,1,4,9,7,11,2
Hikaru,AbasovN,Kings-Fianchetto-Opening,1,0,win,timeout,blitz,180+1,3211,2926,95.64,77.75,17:03:07,17:08:27,320.0,26,12.31,2023.01.03,1,10,7,6,1,6,8,2,4,4
DanielDardha2005,Hikaru,Dutch-Defense,0,1,resigned,win,blitz,180+1,2936,3214,83.05,83.24,17:13:24,17:21:35,491.0,55,8.93,2023.01.03,5,26,8,12,3,7,29,6,9,3
Hikaru,shimastream,Scandinavian-Defense-Mieses-Kotrc-Variation,1,0,win,resigned,blitz,180+1,3217,2945,89.5,82.5,17:24:05,17:30:59,414.0,42,9.86,2023.01.03,10,14,6,8,3,7,17,6,5,5
Hikaru,Polish_fighter3000,Ruy-Lopez-Opening-Berlin-Defense,0.5,0.5,repetition,repetition,blitz,180+1,3215,3113,93.62,92.9,17:39:44,17:44:15,271.0,29,9.34,2023.01.03,3,13,4,5,3,5,14,2,3,3
DanielNaroditsky,Hikaru,Caro-Kann-Defense-Advance-Short-Variation-with,0,1,resigned,win,blitz,180+1,3080,3220,75.04,79.5,17:50:31,17:58:45,494.0,57,8.67,2023.01.03,8,25,8,12,3,10,20,14,11,1
Hikaru,MagnusCarlsen,Anderssen-Opening,1,0,win,timeout,blitz,180+1,3227,3163,81.93,85.3,18:00:32,18:08:29,477.0,48,9.94,2023.01.03,5,17,8,16,1,3,21,11,10,1
NikoTheodorou,Hikaru,Dutch-Defense,1,0,win,resigned,blitz,180,3052,3215,96.53,86.81,18:52:38,18:55:36,178.0,25,7.12,2023.01.03,4,10,5,5,0,2,11,5,5,0
Hikaru,NikoTheodorou,Queens-Gambit-Declined,0.5,0.5,agreed,agreed,blitz,180,3212,3055,82.74,82.51,18:55:21,19:01:12,351.0,51,6.88,2023.01.03,13,23,7,5,2,5,30,10,3,1
NikoTheodorou,Hikaru,Indian-Game-Slav-Indian-Defense,0,1,resigned,win,blitz,180,3050,3217,76.39,82.36,19:00:55,19:07:06,371.0,60,6.18,2023.01.03,13,25,15,4,2,11,26,15,6,1
Hikaru,NikoTheodorou,English-Opening-Anglo-Indian-Kings-Knight-Variation,0.5,0.5,repetition,repetition,blitz,180,3213,3054,88.92,88.26,19:06:53,19:12:11,318.0,45,7.07,2023.01.03,8,18,9,8,1,9,18,10,6,1
NikoTheodorou,Hikaru,Caro-Kann-Defense,0.5,0.5,repetition,repetition,blitz,180,3057,3210,85.17,84.23,19:11:58,19:17:03,305.0,50,6.1,2023.01.03,6,25,12,5,1,4,26,12,7,0
Hikaru,NikoTheodorou,Reti-Opening,1,0,win,resigned,blitz,180,3215,3052,82.43,79.09,19:16:54,19:22:52,358.0,47,7.62,2023.01.03,7,23,6,8,2,10,21,6,6,2
Bilan_Danila,Hikaru,Dutch-Defense,0,1,resigned,win,blitz,180+1,2527,3215,81.87,87.04,21:59:52,22:06:14,382.0,50,7.64,2023.01.03,5,22,7,12,3,5,23,16,4,1
Hikaru,UnknownMagician,Reti-Opening-Kings-Indian-Attack-Symmetrical-Defense-Wahls-Defense,1,0,win,resigned,blitz,180+1,3216,2669,92.63,87.3,22:11:01,22:16:48,347.0,35,9.91,2023.01.03,3,13,11,7,0,2,12,8,9,2
Kobalia,Hikaru,Caro-Kann-Defense-Exchange-Variation,0,1,timeout,win,blitz,180+1,2800,3217,81.59,83.26,22:20:29,22:31:44,675.0,138,4.89,2023.01.03,12,96,18,9,2,26,76,24,11,0
Hikaru,Rud_Makarian,Reti-Opening-Kings-Indian-Attack-Spassky-Variation,1,0,win,resigned,blitz,180+1,3219,2907,86.4,65.8,22:32:19,22:38:09,350.0,22,15.91,2023.01.03,0,10,6,3,2,1,10,2,3,4
Msb2,Hikaru,Dutch-Defense,0,1,resigned,win,blitz,180+1,2992,3222,87.47,92.95,22:48:32,22:56:16,464.0,51,9.1,2023.01.03,9,19,14,4,4,3,21,13,12,1
Hikaru,GM_dmitrij,Kings-Indian-Attack-Double-Fianchetto-Variation,0,1,resigned,win,blitz,180+1,3210,3023,83.01,87.0,22:59:59,23:08:13,494.0,61,8.1,2023.01.03,8,31,8,11,2,5,27,17,10,1
Hikaru,Cayse,Kings-Indian-Attack-Yugoslav-Variation,0.5,0.5,repetition,repetition,blitz,180+1,3204,2850,93.31,93.89,23:09:59,23:17:52,473.0,50,9.46,2023.01.03,9,18,11,6,5,0,25,13,9,2
Maikrosoft63,Hikaru,Caro-Kann-Defense-Exchange-Variation,1,0,win,timeout,blitz,180+1,2857,3190,81.44,76.06,23:20:19,23:29:22,543.0,76,7.14,2023.01.03,8,39,12,15,1,5,42,13,13,1
Hikaru,MarcoRiehle,Kings-Indian-Attack-French-Variation,0.5,0.5,repetition,repetition,blitz,180+1,3183,2773,56.69,52.32,23:35:57,23:43:50,473.0,49,9.65,2023.01.03,8,18,11,8,3,4,21,9,10,3
blank0923,Hikaru,Modern-Defense-Pterodactyl-Beefeater-Variation,0,1,timeout,win,blitz,180+1,2719,3184,81.53,93.22,23:45:23,23:51:16,353.0,30,11.77,2023.01.03,6,9,4,4,6,2,12,11,3,1
vi_pranav,Hikaru,Sicilian-Defense-Westerinen-Attack,0,1,resigned,win,blitz,180,2984,3190,84.81,90.96,15:43:35,15:48:38,303.0,40,7.58,2023.01.04,6,15,11,6,1,3,16,9,11,0
Hikaru,vi_pranav,Kings-Gambit,1,0,win,resigned,blitz,180,3194,2980,89.73,82.33,15:48:37,15:54:11,334.0,46,7.26,2023.01.04,5,19,8,13,0,6,16,18,3,1
vi_pranav,Hikaru,Vant-Kruijs-Opening,1,0,win,resigned,blitz,180,2992,3182,85.79,81.1,15:54:09,16:00:15,366.0,67,5.46,2023.01.04,18,29,9,8,2,15,38,4,7,1
Hikaru,vi_pranav,Vienna-Game-Falkbeer-Vienna-Gambit,0,1,resigned,win,blitz,180,3170,3004,82.44,84.21,16:00:14,16:06:11,357.0,52,6.87,2023.01.04,4,23,18,6,0,7,25,12,6,1
vi_pranav,Hikaru,Sicilian-Defense-OKelly-Venice-Barcza-Line,0,1,resigned,win,blitz,180,3000,3174,73.76,82.38,16:06:11,16:12:01,350.0,54,6.48,2023.01.04,4,30,13,5,1,5,35,8,2,3
Hikaru,vi_pranav,Kings-Gambit-Declined-Classical-Variation,0.5,0.5,repetition,repetition,blitz,180,3170,3004,88.34,89.76,16:12:03,16:16:46,283.0,33,8.58,2023.01.04,4,15,8,3,2,6,14,4,6,2
vi_pranav,Hikaru,Caro-Kann-Defense-Advance-Variation,1,0,win,resigned,blitz,180,3016,3158,84.51,78.61,16:16:47,16:21:57,310.0,47,6.6,2023.01.04,8,20,10,7,1,9,19,11,5,1
Hikaru,vi_pranav,Vant-Kruijs-Opening,1,0,win,resigned,blitz,180,3163,3011,89.29,84.12,16:21:55,16:27:59,364.0,51,7.14,2023.01.04,10,17,13,8,2,10,17,11,10,1
vi_pranav,Hikaru,Caro-Kann-Defense,0,1,resigned,win,blitz,180,3006,3168,71.94,76.96,16:28:01,16:33:07,306.0,38,8.05,2023.01.04,4,17,9,4,3,2,19,8,8,0
Hikaru,vi_pranav,Sicilian-Defense-Chekhover-Variation,1,0,win,resigned,blitz,180,3173,3001,81.34,73.97,16:33:05,16:39:20,375.0,65,5.77,2023.01.04,13,26,19,6,0,16,23,12,11,1
vi_pranav,Hikaru,Dutch-Defense,0,1,resigned,win,blitz,180,2997,3177,76.2,86.01,16:39:23,16:45:25,362.0,60,6.03,2023.01.04,5,29,14,11,0,7,27,18,7,0
Hikaru,vi_pranav,Ruy-Lopez-Opening-Morphy-Defense-Modern-Steinitz-Fianchetto-Variation,1,0,win,resigned,blitz,180,3181,2993,89.75,79.22,16:45:27,16:50:17,290.0,37,7.84,2023.01.04,2,20,9,5,0,4,18,2,9,2
