season,home_team,home_conference,home_score,away_team,away_conference,away_score,lines,spread,formatted_spread,spread_open,over_under,
2013.0,Mississippi State,SEC,44.0,Rice,Conference USA,7.0,1,-7.5,Mississippi State,,,
2013.0,Arizona,ACC,42.0,Boston College,Pac-12,19.0,1,7.0,Arizona,,,
2013.0,Texas A&M,SEC,52.0,Duke,ACC,48.0,1,-13.0,Texas A&M,,,
2013.0,UCLA,Pac-12,42.0,Virginia Tech,ACC,12.0,1,-7.0,UCLA,,,
2013.0,Ole Miss,ACC,25.0,Georgia Tech,SEC,17.0,1,4.0,Ole Miss,,,
2013.0,Navy,FBS Independents,24.0,Middle Tennessee,Conference USA,6.0,1,-7.0,Navy,,,
2013.0,Texas Tech,Big 12,37.0,Arizona State,Pac-12,23.0,0,13.0,Arizona State,,,
2013.0,Oregon,Big 12,30.0,Texas,Pac-12,7.0,1,14.0,Oregon,,,
2013.0,Kansas State,Big 12,31.0,Michigan,Big Ten,14.0,1,-3.0,Kansas State,,,
2013.0,North Carolina,ACC,39.0,Cincinnati,American Athletic,17.0,1,-2.0,North Carolina,,,
2013.0,Notre Dame,FBS Independents,29.0,Rutgers,American Athletic,16.0,1,-17.5,Notre Dame,,,
2013.0,USC,Pac-12,45.0,Fresno State,Mountain West,20.0,1,-6.0,USC,,,
2013.0,Michigan State,Big Ten,24.0,Stanford,Pac-12,20.0,0,3.5,Stanford,,,
2013.0,Florida State,SEC,34.0,Auburn,ACC,31.0,1,6.5,Florida State,,,
2013.0,Arkansas State,Mid-American,23.0,Ball State,Sun Belt,20.0,0,-7.5,Ball State,,,
2013.0,Vanderbilt,American Athletic,41.0,Houston,SEC,24.0,1,1.5,Vanderbilt,,,
2013.0,Missouri,SEC,41.0,Oklahoma State,Big 12,31.0,1,-1.5,Missouri,,,
2013.0,Clemson,Big Ten,40.0,Ohio State,ACC,35.0,0,-4.0,Ohio State,,,
2013.0,Oklahoma,SEC,45.0,Alabama,Big 12,31.0,0,-16.0,Alabama,,,
2013.0,North Texas,Conference USA,36.0,UNLV,Mountain West,14.0,1,-6.5,North Texas,,,
2013.0,Nebraska,SEC,24.0,Georgia,Big Ten,19.0,0,-9.5,Georgia,,,
2013.0,LSU,SEC,21.0,Iowa,Big Ten,14.0,1,-7.5,LSU,,,
2013.0,South Carolina,SEC,34.0,Wisconsin,Big Ten,24.0,0,2.0,Wisconsin,,,
2013.0,UCF,Big 12,52.0,Baylor,American Athletic,42.0,0,-16.5,Baylor,,,
2013.0,Louisville,American Athletic,36.0,Miami,ACC,9.0,1,-3.0,Louisville,,,
2013.0,Washington,Pac-12,31.0,BYU,FBS Independents,16.0,1,-3.0,Washington,,,
2013.0,Syracuse,Big Ten,21.0,Minnesota,ACC,17.0,0,-4.5,Minnesota,,,
2013.0,Marshall,ACC,31.0,Maryland,Conference USA,20.0,1,3.0,Marshall,,,
2013.0,Pittsburgh,Mid-American,30.0,Bowling Green,ACC,27.0,0,-6.0,Bowling Green,,,
