id,season,week,season_type,start_date,home_team,home_conference,home_score,away_team,away_conference,away_score,lines
401442010,2022,1,postseason,2023-01-10T00:30:00.000Z,Georgia,SEC,65,TCU,Big 12,7,"[{'provider': 'William Hill (New Jersey)', 'spread': -13.5, 'formatted_spread': 'Georgia -13.5', 'spread_open': None, 'over_under': 61.5, 'over_under_open': None, 'home_moneyline': None, 'away_moneyline': None}, {'provider': 'consensus', 'spread': -13.5, 'formatted_spread': 'Georgia -13.5', 'spread_open': None, 'over_under': 61.5, 'over_under_open': None, 'home_moneyline': None, 'away_moneyline': None}, {'provider': 'teamrankings', 'spread': -13.5, 'formatted_spread': 'Georgia -13.5', 'spread_open': None, 'over_under': 62.0, 'over_under_open': None, 'home_moneyline': None, 'away_moneyline': None}, {'provider': 'Bovada', 'spread': -13.5, 'formatted_spread': 'Georgia -13.5', 'spread_open': -13.5, 'over_under': 62.0, 'over_under_open': 62.5, 'home_moneyline': -500.0, 'away_moneyline': 360.0}]"
401442011,2022,1,postseason,2023-01-02T17:00:00.000Z,Illinois,Big Ten,10,Mississippi State,SEC,19,"[{'provider': 'William Hill (New Jersey)', 'spread': 4.0, 'formatted_spread': 'Mississippi State -4', 'spread_open': None, 'over_under': 46.5, 'over_under_open': None, 'home_moneyline': None, 'away_moneyline': None}, {'provider': 'consensus', 'spread': 3.5, 'formatted_spread': 'Mississippi State -3.5', 'spread_open': None, 'over_under': 46.5, 'over_under_open': None, 'home_moneyline': None, 'away_moneyline': None}, {'provider': 'teamrankings', 'spread': 3.5, 'formatted_spread': 'Mississippi State -3.5', 'spread_open': None, 'over_under': 46.5, 'over_under_open': None, 'home_moneyline': None, 'away_moneyline': None}, {'provider': 'Bovada', 'spread': 3.5, 'formatted_spread': 'Mississippi State -3.5', 'spread_open': 0.0, 'over_under': 46.5, 'over_under_open': 46.0, 'home_moneyline': -105.0, 'away_moneyline': -115.0}]"
401442012,2022,1,postseason,2023-01-02T18:00:00.000Z,Purdue,Big Ten,7,LSU,SEC,63,"[{'provider': 'Caesars Sportsbook (Colorado)', 'spread': 15.0, 'formatted_spread': 'LSU -15', 'spread_open': None, 'over_under': 53.5, 'over_under_open': None, 'home_moneyline': None, 'away_moneyline': None}, {'provider': 'consensus', 'spread': 15.5, 'formatted_spread': 'LSU -15.5', 'spread_open': None, 'over_under': 54.5, 'over_under_open': None, 'home_moneyline': None, 'away_moneyline': None}, {'provider': 'teamrankings', 'spread': 15.0, 'formatted_spread': 'LSU -15', 'spread_open': None, 'over_under': 54.5, 'over_under_open': None, 'home_moneyline': None, 'away_moneyline': None}, {'provider': 'Bovada', 'spread': 15.0, 'formatted_spread': 'LSU -15', 'spread_open': 10.0, 'over_under': 54.0, 'over_under_open': 58.5, 'home_moneyline': -625.0, 'away_moneyline': 430.0}]"
401442013,2022,1,postseason,2023-01-02T18:00:00.000Z,USC,Pac-12,45,Tulane,American Athletic,46,"[{'provider': 'William Hill (New Jersey)', 'spread': -1.5, 'formatted_spread': 'USC -1.5', 'spread_open': None, 'over_under': 66.0, 'over_under_open': None, 'home_moneyline': None, 'away_moneyline': None}, {'provider': 'consensus', 'spread': -1.5, 'formatted_spread': 'USC -1.5', 'spread_open': None, 'over_under': 66.5, 'over_under_open': None, 'home_moneyline': None, 'away_moneyline': None}, {'provider': 'teamrankings', 'spread': -1.5, 'formatted_spread': 'USC -1.5', 'spread_open': None, 'over_under': 66.5, 'over_under_open': None, 'home_moneyline': None, 'away_moneyline': None}, {'provider': 'Bovada', 'spread': -1.5, 'formatted_spread': 'USC -1.5', 'spread_open': 0.0, 'over_under': 67.0, 'over_under_open': 63.5, 'home_moneyline': -130.0, 'away_moneyline': 110.0}]"
401442014,2022,1,postseason,2023-01-02T22:00:00.000Z,Utah,Pac-12,21,Penn State,Big Ten,35,"[{'provider': 'William Hill (New Jersey)', 'spread': 1.0, 'formatted_spread': 'Penn State -1', 'spread_open': None, 'over_under': 55.0, 'over_under_open': None, 'home_moneyline': None, 'away_moneyline': None}, {'provider': 'consensus', 'spread': 1.5, 'formatted_spread': 'Penn State -1.5', 'spread_open': None, 'over_under': 55.0, 'over_under_open': None, 'home_moneyline': None, 'away_moneyline': None}, {'provider': 'teamrankings', 'spread': 1.5, 'formatted_spread': 'Penn State -1.5', 'spread_open': None, 'over_under': 55.0, 'over_under_open': None, 'home_moneyline': None, 'away_moneyline': None}, {'provider': 'Bovada', 'spread': 1.5, 'formatted_spread': 'Penn State -1.5', 'spread_open': 0.0, 'over_under': 55.5, 'over_under_open': 49.0, 'home_moneyline': 130.0, 'away_moneyline': -150.0}]"
401442018,2022,1,postseason,2022-12-31T17:00:00.000Z,Kansas State,Big 12,20,Alabama,SEC,45,"[{'provider': 'William Hill (New Jersey)', 'spread': 7.5, 'formatted_spread': 'Alabama -7.5', 'spread_open': None, 'over_under': 58.0, 'over_under_open': None, 'home_moneyline': None, 'away_moneyline': None}, {'provider': 'consensus', 'spread': 7.5, 'formatted_spread': 'Alabama -7.5', 'spread_open': None, 'over_under': 58.0, 'over_under_open': None, 'home_moneyline': None, 'away_moneyline': None}, {'provider': 'teamrankings', 'spread': 7.5, 'formatted_spread': 'Alabama -7.5', 'spread_open': None, 'over_under': 58.0, 'over_under_open': None, 'home_moneyline': None, 'away_moneyline': None}, {'provider': 'Bovada', 'spread': 8.0, 'formatted_spread': 'Alabama -8', 'spread_open': 5.5, 'over_under': 58.5, 'over_under_open': 55.0, 'home_moneyline': -195.0, 'away_moneyline': 165.0}]"
401442016,2022,1,postseason,2022-12-31T21:00:00.000Z,Michigan,Big Ten,45,TCU,Big 12,51,"[{'provider': 'William Hill (New Jersey)', 'spread': -7.5, 'formatted_spread': 'Michigan -7.5', 'spread_open': None, 'over_under': 56.0, 'over_under_open': None, 'home_moneyline': None, 'away_moneyline': None}, {'provider': 'consensus', 'spread': -8.0, 'formatted_spread': 'Michigan -8', 'spread_open': None, 'over_under': 56.0, 'over_under_open': None, 'home_moneyline': None, 'away_moneyline': None}, {'provider': 'teamrankings', 'spread': -8.0, 'formatted_spread': 'Michigan -8', 'spread_open': None, 'over_under': 56.0, 'over_under_open': None, 'home_moneyline': None, 'away_moneyline': None}, {'provider': 'Bovada', 'spread': -8.0, 'formatted_spread': 'Michigan -8.0', 'spread_open': -9.0, 'over_under': 56.0, 'over_under_open': 60.0, 'home_moneyline': -290.0, 'away_moneyline': 240.0}]"
401442015,2022,1,postseason,2023-01-01T01:00:00.000Z,Georgia,SEC,42,Ohio State,Big Ten,41,"[{'provider': 'William Hill (New Jersey)', 'spread': -5.0, 'formatted_spread': 'Georgia -5', 'spread_open': None, 'over_under': 61.5, 'over_under_open': None, 'home_moneyline': None, 'away_moneyline': None}, {'provider': 'consensus', 'spread': -5.5, 'formatted_spread': 'Georgia -5.5', 'spread_open': None, 'over_under': 62.5, 'over_under_open': None, 'home_moneyline': None, 'away_moneyline': None}, {'provider': 'teamrankings', 'spread': -4.5, 'formatted_spread': 'Georgia -4.5', 'spread_open': None, 'over_under': 62.0, 'over_under_open': None, 'home_moneyline': None, 'away_moneyline': None}, {'provider': 'Bovada', 'spread': -5.5, 'formatted_spread': 'Georgia -5.5', 'spread_open': -7.0, 'over_under': 62.0, 'over_under_open': 61.0, 'home_moneyline': -250.0, 'away_moneyline': 210.0}]"
401443543,2022,1,postseason,2022-12-30T21:30:00.000Z,Wyoming,Mountain West,27,Ohio,Mid-American,30,"[{'provider': 'William Hill (New Jersey)', 'spread': 3.0, 'formatted_spread': 'Ohio -3', 'spread_open': None, 'over_under': 43.0, 'over_under_open': None, 'home_moneyline': None, 'away_moneyline': None}, {'provider': 'consensus', 'spread': 3.0, 'formatted_spread': 'Ohio -3', 'spread_open': None, 'over_under': 43.0, 'over_under_open': None, 'home_moneyline': None, 'away_moneyline': None}, {'provider': 'teamrankings', 'spread': 3.0, 'formatted_spread': 'Ohio -3', 'spread_open': None, 'over_under': 43.0, 'over_under_open': None, 'home_moneyline': None, 'away_moneyline': None}, {'provider': 'Bovada', 'spread': 3.0, 'formatted_spread': 'Ohio -3', 'spread_open': 0.0, 'over_under': 43.0, 'over_under_open': 42.5, 'home_moneyline': -125.0, 'away_moneyline': 105.0}]"
401442035,2022,1,postseason,2022-12-30T17:00:00.000Z,NC State,ACC,12,Maryland,Big Ten,16,"[{'provider': 'William Hill (New Jersey)', 'spread': -2.0, 'formatted_spread': 'NC State -2', 'spread_open': None, 'over_under': 45.0, 'over_under_open': None, 'home_moneyline': None, 'away_moneyline': None}, {'provider': 'consensus', 'spread': -2.0, 'formatted_spread': 'NC State -2', 'spread_open': None, 'over_under': 45.5, 'over_under_open': None, 'home_moneyline': None, 'away_moneyline': None}, {'provider': 'teamrankings', 'spread': -2.0, 'formatted_spread': 'NC State -2', 'spread_open': None, 'over_under': 45.5, 'over_under_open': None, 'home_moneyline': None, 'away_moneyline': None}, {'provider': 'Bovada', 'spread': -2.5, 'formatted_spread': 'NC State -2.5', 'spread_open': 1.0, 'over_under': 45.0, 'over_under_open': 46.0, 'home_moneyline': 105.0, 'away_moneyline': -125.0}]"
401442036,2022,1,postseason,2022-12-30T20:30:00.000Z,South Carolina,SEC,38,Notre Dame,FBS Independents,45,"[{'provider': 'William Hill (New Jersey)', 'spread': 5.5, 'formatted_spread': 'Notre Dame -5.5', 'spread_open': None, 'over_under': 50.5, 'over_under_open': None, 'home_moneyline': None, 'away_moneyline': None}, {'provider': 'consensus', 'spread': 5.0, 'formatted_spread': 'Notre Dame -5', 'spread_open': None, 'over_under': 50.5, 'over_under_open': None, 'home_moneyline': None, 'away_moneyline': None}, {'provider': 'teamrankings', 'spread': 5.0, 'formatted_spread': 'Notre Dame -5', 'spread_open': None, 'over_under': 50.5, 'over_under_open': None, 'home_moneyline': None, 'away_moneyline': None}, {'provider': 'Bovada', 'spread': 5.0, 'formatted_spread': 'Notre Dame -5', 'spread_open': 3.0, 'over_under': 50.5, 'over_under_open': 51.5, 'home_moneyline': -140.0, 'away_moneyline': 120.0}]"
401443542,2022,1,postseason,2022-12-30T19:00:00.000Z,UCLA,Pac-12,35,Pittsburgh,ACC,37,"[{'provider': 'William Hill (New Jersey)', 'spread': -8.5, 'formatted_spread': 'UCLA -8.5', 'spread_open': None, 'over_under': 54.5, 'over_under_open': None, 'home_moneyline': None, 'away_moneyline': None}, {'provider': 'consensus', 'spread': -8.5, 'formatted_spread': 'UCLA -8.5', 'spread_open': None, 'over_under': 54.5, 'over_under_open': None, 'home_moneyline': None, 'away_moneyline': None}, {'provider': 'teamrankings', 'spread': -8.5, 'formatted_spread': 'UCLA -8.5', 'spread_open': None, 'over_under': 54.5, 'over_under_open': None, 'home_moneyline': None, 'away_moneyline': None}, {'provider': 'Bovada', 'spread': -9.0, 'formatted_spread': 'UCLA -9.0', 'spread_open': -4.0, 'over_under': 55.0, 'over_under_open': 60.5, 'home_moneyline': -310.0, 'away_moneyline': 255.0}]"
401442019,2022,1,postseason,2022-12-31T01:00:00.000Z,Clemson,ACC,14,Tennessee,SEC,31,"[{'provider': 'William Hill (New Jersey)', 'spread': -4.0, 'formatted_spread': 'Clemson -4', 'spread_open': None, 'over_under': 61.0, 'over_under_open': None, 'home_moneyline': None, 'away_moneyline': None}, {'provider': 'consensus', 'spread': -4.5, 'formatted_spread': 'Clemson -4.5', 'spread_open': None, 'over_under': 61.0, 'over_under_open': None, 'home_moneyline': None, 'away_moneyline': None}, {'provider': 'teamrankings', 'spread': -3.5, 'formatted_spread': 'Clemson -3.5', 'spread_open': None, 'over_under': 62.0, 'over_under_open': None, 'home_moneyline': None, 'away_moneyline': None}, {'provider': 'Bovada', 'spread': -4.0, 'formatted_spread': 'Clemson -4', 'spread_open': -4.5, 'over_under': 62.0, 'over_under_open': 64.0, 'home_moneyline': 220.0, 'away_moneyline': -270.0}]"
401442032,2022,1,postseason,2022-12-29T19:00:00.000Z,Minnesota,Big Ten,28,Syracuse,ACC,20,"[{'provider': 'William Hill (New Jersey)', 'spread': -11.0, 'formatted_spread': 'Minnesota -11', 'spread_open': None, 'over_under': 45.5, 'over_under_open': None, 'home_moneyline': None, 'away_moneyline': None}, {'provider': 'consensus', 'spread': -10.5, 'formatted_spread': 'Minnesota -10.5', 'spread_open': None, 'over_under': 44.5, 'over_under_open': None, 'home_moneyline': None, 'away_moneyline': None}, {'provider': 'teamrankings', 'spread': -10.5, 'formatted_spread': 'Minnesota -10.5', 'spread_open': None, 'over_under': 44.5, 'over_under_open': None, 'home_moneyline': None, 'away_moneyline': None}, {'provider': 'Bovada', 'spread': -10.5, 'formatted_spread': 'Minnesota -10.5', 'spread_open': -7.0, 'over_under': 45.0, 'over_under_open': 42.0, 'home_moneyline': 250.0, 'away_moneyline': -300.0}]"
